hotel_names,star_rating,distance_from_center,swimmingpool,breakfast,breakfast_and_dinner,free_cancellation,address,Air conditioning,Heating,WiFi is available in all areas and is free of charge.,City view,Wardrobe or closet,Soundproofing,TV,Coffee machine,Private bathroom,Lift,Safety deposit box,Pets are allowed. Charges may be applicable.,24-hour front desk,Bar,Room service,Fitness centre,Spa lounge/relaxation area,Electric kettle,Minibar,Tea/Coffee maker,Restaurant,Parking garage,Airport shuttle,Non-smoking rooms,24-hour security,Towels,Facilities for disabled guests,Hairdryer,Iron,Electric vehicle charging station,city
Hôtel Caron,3,800,0,0,0,1,"3 rue Caron, 4th arr., 75004 Paris, France",1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1
Pavillon de Montmartre,3,3400,0,0,0,1,"5 Rue Aristide Bruant, 18th arr., 75018 Paris, France",0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Hotel Bowmann,5,3200,0,0,0,1,"99 Boulevard Haussmann, 8th arr., 75008 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1
Hôtel de Joséphine BONAPARTE,4,800,0,0,0,1,"10, rue d'Ormesson , 4th arr., 75004 Paris, France",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1
Hôtel Saint-Charles,3,3300,0,1,0,1,"6, Rue de L'Esperance, 13th arr., 75013 Paris, France",1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1
Hotel Lorette - Astotel,3,2700,0,1,0,1,"36 rue Notre Dame de Lorette, 9th arr., 75009 Paris, France",1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1
Hôtel Aston,3,1800,0,1,0,1,"12 Cité Bergère, 9th arr., 75009 Paris, France",1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1
Hotel Left Bank Saint Germain,3,1000,0,0,0,1,"9 Rue de l'Ancienne Comédie, 6th arr., 75006 Paris, France",1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1
Hôtel Gustave,4,4600,0,0,0,1,"34, Rue Viala, 15th arr., 75015 Paris, France",1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1
Sejours & Affaires Paris-Davout,0,4200,0,1,0,1,"129 Boulevard Davout, 20th arr., 75020 Paris, France",0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Hôtel Oratio,3,900,0,1,0,1,"42, Rue des Bernardins, 5th arr., 75005 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
Hôtel Le Cardinal by Happyculture,3,3200,0,0,0,1,"3, rue du Cardinal Mercier, 9th arr., 75009 Paris, France",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
Hôtel Avama Prony,3,5000,0,0,0,1,"103 bis, Avenue de Villiers, 17th arr., 75017 Paris, France",1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
Hotel Le Saint Gregoire,4,2100,0,1,0,1,"43, Rue De l'Abbé Grégoire, 6th arr., 75006 Paris, France",1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Hôtel LUX PICPUS,2,3900,0,1,0,1,"74 Boulevard de Picpus, 12th arr., 75012 Paris, France",0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
Hôtel Botaniste,4,6500,0,0,0,1,"11 rue Molitor, 16th arr., 75016 Paris, France",1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1
Best Western Plus 61 Paris Nation Hotel,4,4400,0,1,0,1,"61, rue de la Voute, 12th arr., 75012 Paris, France",1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
Maison Armance - Esprit de France,4,2200,0,1,0,1,"5 Rue Cambon, 1st arr., 75001 Paris, France",1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Hôtel Palais De Chaillot,3,4900,0,1,0,1,"35 Avenue Raymond Poincaré, 16th arr., 75016 Paris, France",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1
Hotel Eden Montmartre,3,4100,0,0,0,1,"90, Rue Ordener, 18th arr., 75018 Paris, France",0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1
Hotel Bellevue Montmartre,3,3100,0,0,0,1,"19 Rue d'Orsel, 18th arr., 75018 Paris, France",0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1
Charles V,4,800,0,1,0,1,"20 Rue Saint-Paul, 4th arr., 75004 Paris, France",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1
Citadines Bastille Gare de Lyon Paris,3,2600,0,0,0,1,"14-18 Rue De Chaligny, 12th arr., 75012 Paris, France",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1
B Montmartre,4,3500,0,1,0,1,"6 Rue Lecluse, 17th arr., 75017 Paris, France",1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1
Hotel Opéra d'Antin,3,2400,0,0,0,1,"75, rue de Provence, 9th arr., 75009 Paris, France",1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
Hôtel Toujours & Spa,4,5400,1,1,0,1,"155, Avenue Malakoff, 16th arr., 75116 Paris, France",1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1
Mercure Paris Gare De Lyon TGV,4,2100,0,1,0,1,"2 place Louis-Armand, 12th arr., 75012 Paris, France",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
The Westin Paris - Vendôme,4,2000,0,1,0,1,"3 rue de Castiglione, 1st arr., 75001 Paris, France",1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1
Hôtel Vic Eiffel,3,3300,0,0,0,1,"92, boulevard Garibaldi, 15th arr., 75015 Paris, France",1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1
HOTEL ALISON,3,2800,0,1,0,1,"21 RUE DE SURENE, 8th arr., 75008 Paris, France",1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Le Belleval,4,3000,0,1,0,1,"16 Rue de la Pépinière, 8th arr., 75008 Paris, France",1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1
Trianon Gare de Lyon,3,2400,0,0,0,1,"52 Boulevard Diderot, 12th arr., 75012 Paris, France",1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
Hotel Meslay Republique,3,1400,0,0,0,1,"3, rue Meslay, 3rd arr., 75003 Paris, France",0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1
Hôtel National Des Arts et Métiers,4,1000,0,1,0,1,"243 rue saint Martin, 3rd arr., 75003 Paris, France",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1
Hôtel Galileo Champs Elysées,3,4200,0,0,0,1,"54 rue Galilée, 8th arr., 75008 Paris, France",1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
Apostrophe Hôtel,3,2200,0,1,0,1,"3 rue de Chevreuse, 6th arr., 75006 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
COQ Hotel Paris,4,2700,0,1,0,1,"15 rue Edouard Manet, 13th arr., 75013 Paris, France",1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
Best Western Montcalm,3,5000,0,0,0,1,"50, avenue Félix Faure, 15th arr., 75015 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1
Maison Albar Hotels - Le Vendome,5,2100,1,1,0,1,"7 Rue du Helder, 9th arr., 75009 Paris, France",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1
Turenne Le Marais,3,900,0,0,0,0,"6 Rue De Turenne, 4th arr., 75004 Paris, France",1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
MEININGER Hotel Paris Porte de Vincennes,0,4700,0,1,0,1,"37 Boulevard Carnot, 12th arr., 75012 Paris, France",0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
Rochester Champs Elysees,4,3500,0,1,0,1,"92 Rue La Boetie, 8th arr., 75008 Paris, France",1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1
La Villa Maillot,4,5400,0,1,0,1,"143 Avenue De Malakoff, 16th arr., 75016 Paris, France",1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
ibis Styles Paris Bercy,3,3000,0,0,0,1,"77 Rue De Bercy, 12th arr., 75012 Paris, France",1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1
Hôtel 15 Montparnasse,4,3000,0,1,0,1,"153 Rue De Vaugirard, 15th arr., 75015 Paris, France",1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Too Hotel Paris - MGallery,4,4100,0,0,0,1,"65 Rue Bruneseau, 13th arr., 75013 Paris, France",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
Petit Madeleine Hôtel,3,3100,0,1,0,1,"22 Rue Roquepine, 8th arr., 75008 Paris, France",1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1
Hotel de Paris Montmartre,3,3600,0,1,0,1,"17 rue Biot, 17th arr., 75017 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1
Hôtel Saint-Pétersbourg Opéra & Spa,4,2400,0,1,0,1,"35, Rue Caumartin, 9th arr., 75009 Paris, France",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
Kyriad Hotel XIII Italie Gobelins,3,2600,0,1,0,1,"5 rue Veronese, 13th arr., 75013 Paris, France",1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1
Citadines Austerlitz Paris,3,2500,0,0,0,0,"27 Rue Esquirol, 13th arr., 75013 Paris, France",0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1
Hôtel Kabanel,3,2200,0,1,0,1,"21 Rue De Chabrol, 10th arr., 75010 Paris, France",1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1
Novotel Paris 14 Porte d'Orléans,4,4500,0,1,0,1,"15, Boulevard Romain Rolland, 14th arr., 75014 Paris, France",1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1
Jack's Hotel,3,2700,0,0,0,0,"19, Avenue Stephen Pichon, 13th arr., 75013 Paris, France",1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1
Hotel du Collectionneur,5,4000,0,0,0,1,"51-57, rue de Courcelles, 8th arr., 75008 Paris, France",1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
Hôtel Paris Louvre Opéra,3,1600,0,0,0,1,"4 rue des Moulins, 1st arr., 75001 Paris, France",1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1
Hotel Splendid,3,4200,0,0,0,1,"54 Rue Fondary, 15th arr., 75015 Paris, France",1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Le Rocroy Hotel Paris Gare du Nord,4,2600,0,1,0,1,"13 Rue De Rocroy, 10th arr., 75010 Paris, France",1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1
Hôtel Jardin de Cluny,4,800,0,1,0,1,"9, Rue du Sommerard, 5th arr., 75005 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1
Hotel Ekta Champs Elysées,4,4200,0,0,0,1,"52 Rue Galilée, 8th arr., 75008 Paris, France",1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1
Novotel Paris Gare De Lyon,4,2100,1,1,0,1,"2 Rue Hector Malot, 12th arr., 75012 Paris, France",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
Hôtel Artus,4,1200,0,1,0,1,"34 Rue de Buci, 6th arr., 75006 Paris, France",1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1
Hôtel Maxim Opéra,4,2000,0,0,0,1,"13 rue Geoffroy-Marie, 9th arr., 75009 Paris, France",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
Hotel Ascot Opera,3,1800,0,0,0,1,"2, rue Monsigny, 2nd arr., 75002 Paris, France",1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
Hôtel Le Bellechasse Saint-Germain,4,2000,0,1,0,1,"8 Rue De Bellechasse, 7th arr., 75007 Paris, France",1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1
Hotel Agora,0,600,0,0,0,1,"7 Rue De La Cossonnerie, 1st arr., 75001 Paris, France",1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Hôtel de la Tour Eiffel,2,3500,0,0,0,1,"17 rue de l'Exposition, 7th arr., 75007 Paris, France",1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
La Demeure Montaigne,5,3700,1,1,0,1,"18 Rue Clément Marot, 8th arr., 75008 Paris, France",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
Hôtel Istria by Magna Arbor,3,2400,0,0,0,1,"29, rue Campagne Première, 14th arr., 75014 Paris, France",1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1
Hotel Sacha,4,2700,0,1,0,1,"7 rue de Navarin, 9th arr., 75009 Paris, France",1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
Hôtel Moderniste,4,4900,0,0,0,1,"5 Rue de Langeac, 15th arr., 75015 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1
Avia Hôtel Saphir Montparnasse,3,3200,0,1,0,1,"181 rue de Vaugirard, 15th arr., 75015 Paris, France",1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1
Chambiges Elysées,4,3700,0,0,0,1,"8, rue Chambiges, 8th arr., 75008 Paris, France",1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1
Hôtel de Banville,4,5300,0,1,0,1,"166 Boulevard Berthier, 17th arr., 75017 Paris, France",1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1
Mercure Paris 17 Batignolles,4,4800,0,1,0,1,"118 Rue De Tocqueville, 17th arr., 75017 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1
Hôtel Ambassadeur,3,4300,0,0,0,1,"153 Rue Legendre, 17th arr., 75017 Paris, France",1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Urban Bivouac Hotel,3,3500,0,0,0,1,"1 rue Sthrau, 13th arr., 75013 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1
Hôtel du Continent,3,2100,0,0,0,1,"30, rue du Mont-Thabor, 1st arr., 75001 Paris, France",1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1
Absolute Hotel Paris République,0,1800,0,0,0,1,"1 rue de la fontaine au roi, 11th arr., 75011 Paris, France",0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
Hôtel Joséphine by Happyculture,4,3200,0,0,0,1,"67 rue Blanche, 9th arr., 75009 Paris, France",1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
ibis Styles Paris Gare De Lyon TGV,3,2100,0,0,0,0,"28 Bis Bd Diderot, 12th arr., 75012 Paris, France",1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
Hotel Marais Grands Boulevards,4,1400,0,1,0,1,"112 boulevard de Sébastopol, 3rd arr., 75003 Paris, France",1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1
Hotel Audran,2,3400,0,1,0,1,"7 Rue Audran, 18th arr., 75018 Paris, France",0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
Paris Marriott Opera Ambassador Hotel,4,2100,0,1,0,1,"16 boulevard Haussmann, 9th arr., 75009 Paris, France",1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1
Hotel Panache,4,1900,0,0,0,1,"1 rue Geoffroy Marie, 9th arr., 75009 Paris, France",1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
Mercure Paris Gare Montparnasse TGV,4,3200,0,1,0,1,"40 Rue du Commandant René Mouchotte, 14th arr., 75014 Paris, France",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1
Hotel Villa Nicolo,3,5200,0,1,0,1,"3 Rue Nicolo, 16th arr., 75016 Paris, France",0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
Home Latin,3,800,0,0,0,1,"15 Et 17 Rue Du Sommerard, 5th arr., 75005 Paris, France",0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Hotel Cervantes by Happyculture,3,3400,0,1,0,1,"19 rue de Berne, 8th arr., 75008 Paris, France",1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Le Citizen Hotel,3,2100,0,0,0,0,"96 Quai De Jemmapes, 10th arr., 75010 Paris, France",1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1
Hyatt Paris Madeleine,5,2800,0,0,0,1,"24, Boulevard Malesherbes, 8th arr., 75008 Paris, France",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
Hotel Claude Bernard Saint-Germain,3,900,0,0,0,1,"43 Rue Des Ecoles, 5th arr., 75005 Paris, France",1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
Hotel Paradis,3,1900,0,1,0,1,"41, Rue Des Petites Ecuries, 10th arr., 75010 Paris, France",1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1
Best Western Plus Hôtel Mercedes,4,4700,0,1,0,1,"128, avenue de Wagram, 17th arr., 75017 Paris, France",1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1
Francois 1er,4,4100,0,1,0,1,"7 Rue Magellan, 8th arr., 75008 Paris, France",1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Hôtel Eiffel XV,2,4500,0,0,0,1,"13-15 rue Viala, 15th arr., 75015 Paris, France",1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1
Appart'City Paris La Villette,2,4200,0,0,0,1,"157 Avenue Jean Jaurès, 19th arr., 75019 Paris, France",0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1
Hotel de l'Aqueduc,3,2900,0,0,0,0,"10 Rue Philippe de Girard, 10th arr., 75010 Paris, France",1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
Maison Albar Hotels Le Champs-Elysées,5,4700,0,1,0,1,"3 avenue Mac Mahon, 17th arr., 75017 Paris, France",1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1
Hotel La Lanterne & Spa,4,900,1,1,0,1,"12 rue de la Montagne Sainte Geneviève, 5th arr., 75005 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1
Hôtel Vinci Due & Spa,4,1500,0,1,0,1,"28 Rue de Lille, 7th arr., 75007 Paris, France",1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1
Hôtel Prince Albert Concordia,3,2200,0,1,0,1,"38, boulevard Diderot, 12th arr., 75012 Paris, France",1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
Fraser Suites Le Claridge Champs-Elysées,5,3700,0,1,0,1,"74 Avenue Des Champs-Elysées, 8th arr., 75008 Paris, France",1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1
Hôtel Opéra Liège,4,3100,0,1,0,1,"9 Rue De Liège, 9th arr., 75009 Paris, France",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1
Hotel Campanile Paris-Bercy Village,3,3600,0,1,0,1,"17 Rue Baron Le Roy, 12th arr., 75012 Paris, France",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1
"Hotel Indigo Paris - Opera, an IHG Hotel",4,2200,0,1,0,0,"2 Rue Edouard VII, 9th arr., 75009 Paris, France",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1
Maison Mère,4,2300,0,1,0,1,"7 Rue Mayran, 9th arr., 75009 Paris, France",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
Deskopolitan House,0,2700,0,1,0,1,"226 Boulevard Voltaire, 11th arr., 75011 Paris, France",1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1
Cour des Vosges,5,1000,1,0,0,1,"19 Place des Vosges, 4th arr., 75004 Paris, France",1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1
Hôtel Relais Monceau,4,3600,0,0,0,0,"85 Rue du Rocher, 8th arr., 75008 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
Hôtel Madison,4,1300,0,1,0,1,"143 Boulevard Saint-Germain, 6th arr., 75006 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1
Hotel des Grandes Ecoles,3,1300,0,1,0,1,"75 Rue du Cardinal Lemoine, 5th arr., 75005 Paris, France",1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1
Hôtel Vaneau Saint Germain,3,2400,0,1,0,1,"86 Rue Vaneau, 7th arr., 75007 Paris, France",1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1
Grand Hôtel Lévêque,3,3300,0,1,0,1,"29 rue Cler, 7th arr., 75007 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1
Timhotel Tour Eiffel,3,4400,0,1,0,1,"11 Rue Juge, 15th arr., 75015 Paris, France",1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1
Citadines République Paris,3,1900,0,0,0,1,"75 Bis, Avenue Parmentier, 11th arr., 75011 Paris, France",0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1
